OBJECTID,GDP/面积,路距,熵,湖距,label,,,
1,0.990950881,0.61875556,0.657462196,0.665135335,0,,,
2,0.973785532,0.811400049,0.657462196,0.737388296,0,,,
3,0.963077363,0.737421038,0.657462196,0.773321048,0,,,
4,0.980046928,0.775630878,0.657462196,0.768555705,0,,,
5,0.989405654,0.719090589,0.657462196,0.778398735,0,,,
6,0.991397931,0.69249009,0.657462196,0.769661131,0,,,
7,0.989189368,0.678833496,0.657462196,0.738285619,0,,,
8,0.989319919,0.871877598,0.657462196,0.756126839,0,,,
9,0.995319087,0.738406588,0.657462196,0.792583734,0,,,
10,0.970951989,0.979014527,0.657462196,0.859326608,0,,,
11,0.992559868,0.827326842,0.657462196,0.839069076,0,,,
12,0.990201117,0.864333947,0.657462196,0.892699042,0,,,
13,0.995229023,0.815739256,0.657462196,0.725412605,0,,,
14,0.987625317,0.576606811,0.657462196,0.703750659,0,,,
15,0.996593117,0.58873553,0.657462196,0.791981173,0,,,
16,0.998790342,0.736405997,0.657462196,0.747992838,0,,,
17,0.996681675,0.721835743,0.657462196,0.736278874,0,,,
18,0.993310741,0.800020397,0.657462196,0.853821825,0,,,
19,0.995480445,0.884981665,0.657462196,0.826547672,0,,,
20,0.993126283,0.909827795,0.657462196,0.840861749,0,,,
21,0.998613085,0.949073726,0.657462196,0.873602989,0,,,
22,0.994221551,0.962681744,0.657462196,0.875408522,0,,,
23,0.986409611,0.655207754,0.657462196,0.787399023,0,,,
24,0.990899987,0.748305757,0.657462196,0.665541952,0,,,
1,0.989227187,0.542159535,0.657462196,0.850579358,1,,,
2,0.983019265,0.768752764,0.657462196,0.789333114,1,,,
3,0.986932768,0.773320763,0.657462196,0.781346187,1,,,
4,0.977486991,0.78756839,0.657462196,0.761292606,1,,,
5,0.989723399,0.786044805,0.657462196,0.71768857,1,,,
6,0.988527503,0.774660981,0.657462196,0.700746359,1,,,
7,0.992740223,0.756184803,0.657462196,0.723130646,1,,,
8,0.951201351,0.874705316,0.657462196,0.76047821,1,,,
9,0.983962959,0.735536066,0.657462196,0.806690336,1,,,
10,0.910804797,0.713957178,0.657462196,0.844975202,1,,,
11,0.829395558,0.584787655,0.657462196,0.878084416,1,,,
12,0.979608295,0.270823752,0.657462196,0.788933351,1,,,
13,0.95259916,0.322298161,0.657462196,0.798841445,1,,,
14,0.987122629,0.412084554,0.657462196,0.80957158,1,,,
15,0.98727841,0.350584103,0.657462196,0.732133951,1,,,
16,0.980300792,0.382016644,0.657462196,0.743350403,1,,,
17,0.978096714,0.484577726,0.657462196,0.839270971,1,,,
18,0.984884748,0.596783912,0.657462196,0.863576241,1,,,
19,0.991181662,0.5345547,0.657462196,0.693613658,1,,,
20,0.991407922,0.643409391,0.657462196,0.81331652,1,,,
21,0.996093182,0.657061322,0.657462196,0.793295736,1,,,
22,0.919500238,0.625116394,0.657462196,0.877236714,1,,,
23,0.934087883,0.700045858,0.657462196,0.839346952,1,,,
24,0.984566518,0.724496294,0.657462196,0.871946213,1,,,
25,0.993124447,0.693550081,0.657462196,0.75686719,1,,,
26,0.996600944,0.770271156,0.657462196,0.85489842,1,,,
27,0.979299883,0.749724197,0.657462196,0.820999096,1,,,
28,0.980049872,0.714451595,0.657462196,0.770832263,1,,,
29,0.969974111,0.763596459,0.657462196,0.874329576,1,,,
30,0.942501407,0.691550791,0.657462196,0.780797487,1,,,
31,0.991458054,0.697063471,0.657462196,0.737598498,1,,,
32,0.992369903,0.623313753,0.657462196,0.64286584,1,,,
33,0.995338707,0.856916896,0.657462196,0.871888494,1,,,
34,0.996793143,0.863945327,0.657462196,0.876089509,1,,,
35,0.72886099,0.478156743,0.657462196,0.681735782,1,,,
36,0.898369973,0.817532594,0.657462196,0.871085143,1,,,
37,0.979058661,0.873706911,0.657462196,0.825768517,1,,,
38,0.946298281,0.826406017,0.657462196,0.828793704,1,,,
39,0.992747565,0.889489169,0.657462196,0.875391757,1,,,
40,0.986807221,0.687527097,0.657462196,0.687109593,1,,,
41,0.991340439,0.733301571,0.657462196,0.723469358,1,,,
42,0.976840729,0.495914075,0.657462196,0.798182114,1,,,
